Product,Category,Price,Stock,Description
Laptop,Electronics,999.99,50,High-performance laptop with 16GB RAM and 512GB SSD
Mouse,Accessories,29.99,200,Wireless optical mouse with ergonomic design
Keyboard,Accessories,79.99,150,Mechanical keyboard with RGB backlighting
Monitor,Electronics,299.99,75,27-inch 4K monitor with HDR support
Webcam,Electronics,89.99,100,1080p webcam with noise cancellation
Headphones,Accessories,149.99,120,Over-ear wireless headphones with active noise cancellation
Printer,Electronics,199.99,40,All-in-one wireless printer with scanner and copier
USB Hub,Accessories,24.99,300,7-port USB 3.0 hub with fast data transfer
External SSD,Electronics,129.99,90,1TB portable external SSD with USB-C connectivity
Router,Electronics,89.99,60,Dual-band Wi-Fi 6 router with mesh support
